ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,http_trans_depth,http_response_body_len,http_method,dns_query,attack_cat,label,rate,sload,dload,smean,dmean,is_sm_ips_ports,is_ftp_login,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_state_ttl,ct_ftp_cmd,ct_flw_http_mthd
1761337154.645178,Cdh7hm21PO15pmnHWf,192.168.255.112,63691,192.168.255.221,80,tcp,http,0.810058,13501.0,0.0,SH,T,T,0,ScADccF,107,17793,0,0,,6,100.0,0.0,GET,,Fuzzers,1,132.08930718541143,133333.66252786838,0.0,126,0,0,0,41,1,41,42,41,1,41,41,0,41
1761337154.710361,Cf3L1C13Ab6qGFXVxb,192.168.255.112,63693,192.168.255.221,80,tcp,http,0.969857,13435.0,0.0,SH,T,T,0,ScADccF,107,17727,0,0,,6,100.0,0.0,GET,,Fuzzers,1,110.32554283775856,110820.46116076906,0.0,125,0,0,0,42,1,42,43,42,1,42,42,0,42
1761337155.065722,CA0ZTi3EYV0HLOjii1,192.168.255.112,63695,192.168.255.221,80,tcp,http,0.647308,9657.0,0.0,SH,T,T,0,ScADcF,77,12749,0,0,,6,30.0,0.0,GET,,Fuzzers,1,118.95419182213104,119349.67588844878,0.0,125,0,0,0,43,1,43,44,43,1,43,43,0,43
1761337155.165501,CFrSl02bWkBTSiaGjb,192.168.255.112,63696,192.168.255.221,80,tcp,http,0.775557,13488.0,0.0,SH,T,T,0,ScADccF,106,17740,0,0,,6,100.0,0.0,GET,,Fuzzers,1,136.67596321095675,139130.97296523658,0.0,127,0,0,0,44,1,44,45,44,1,44,44,0,44
1761337155.229036,Cn6Hmwtbt3QwSMOOg,192.168.255.112,63697,192.168.255.221,80,tcp,http,0.829001,13546.0,0.0,SH,T,T,0,ScADccF,108,17878,0,0,,6,100.0,0.0,GET,,Fuzzers,1,130.2772855521284,130721.19333993566,0.0,125,0,0,0,45,1,45,46,45,1,45,45,0,45
1761337155.29814,CxtApy4cjmCTwq2um9,192.168.255.112,63698,192.168.255.221,80,tcp,http,0.832184,13491.0,0.0,SH,T,T,0,ScADccF,106,17743,0,0,,6,100.0,0.0,GET,,Fuzzers,1,127.37567653307441,129692.47185718543,0.0,127,0,0,0,46,1,46,47,46,1,46,46,0,46
1761337155.298539,CF3V0GerGi8EDZZQj,192.168.255.112,63700,192.168.255.221,80,tcp,http,1.01787,13551.0,0.0,SH,T,T,0,ScADccF,107,17843,0,0,,6,100.0,0.0,GET,,Fuzzers,1,105.12147916728068,106504.75993987444,0.0,126,0,0,0,47,1,47,48,47,1,47,47,0,47
1761337155.298539,CerEZs49tTU6dMg6U5,192.168.255.112,63699,192.168.255.221,80,tcp,http,0.918828,13491.0,0.0,SH,T,T,0,ScADccF,107,17783,0,0,,6,100.0,0.0,GET,,Fuzzers,1,116.45269843757482,117462.68071935118,0.0,126,0,0,0,48,1,48,49,48,1,48,48,0,48
1761337155.529195,CWqU86AzlV8ptds72,192.168.255.112,63701,192.168.255.221,80,tcp,http,0.917223,13529.0,0.0,SH,T,T,0,ScADccF,108,17861,0,0,,6,100.0,0.0,GET,,Fuzzers,1,117.74672026322934,117999.6576623133,0.0,125,0,0,0,49,1,49,50,49,1,49,49,0,49
1761337155.572557,C6uBLb3th3yoDucDJ9,0.0.0.0,68,255.255.255.255,67,udp,dhcp,0.0,0.0,0.0,S0,T,T,0,D,1,340,0,0,,17,,,,,Fuzzers,1,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,1,3,0,49
1761337155.637796,CyHtXG2EVdV8i5YzP,192.168.255.112,63702,192.168.255.221,80,tcp,http,0.848179,13482.0,0.0,SH,T,T,0,ScADccF,107,17774,0,0,,6,100.0,0.0,GET,,Fuzzers,1,126.15261636989362,127161.83730085277,0.0,126,0,0,0,50,1,50,51,50,1,50,50,0,50
1761337155.637796,CJNn4q2uV7o5v5G2E1,192.168.255.112,63703,192.168.255.221,80,tcp,http,0.913115,10827.0,0.0,SH,T,T,0,ScADcF,87,14319,0,0,,6,80.0,0.0,GET,,Fuzzers,1,95.27825082273317,94857.71233634317,0.0,124,0,0,0,51,1,51,52,51,1,51,51,0,51
1761337155.874709,CXZnOZCaPeWejgmVi,192.168.255.112,0,224.0.0.22,0,unknown_transport,,0.499519,0.0,0.0,OTH,T,T,0,,2,144,0,0,,2,,,,,Fuzzers,1,4.003851705340538,0.0,0.0,0,0,0,0,1,1,1,53,1,1,1,1,0,51
1761337155.965198,Chqtgx4NmgYz7D2q5b,192.168.255.112,63705,192.168.255.221,80,tcp,http,0.783276,13559.0,0.0,SH,T,T,0,ScADccF,107,17851,0,0,,6,100.0,0.0,GET,,Fuzzers,1,136.60574305864088,138485.0295425878,0.0,126,0,0,0,52,1,52,54,52,1,52,52,0,52
1761337155.96984,CI6j7z2FkpZgkBMtu3,192.168.255.112,63708,192.168.255.221,80,tcp,http,0.145404,135.0,0.0,SH,T,T,0,ScADF,6,387,0,0,,6,1.0,0.0,GET,,Fuzzers,1,41.26433935792688,7427.581084426838,0.0,22,0,0,0,53,1,53,55,53,1,53,53,0,53
1761337155.96984,C1w4IOV5KIkU2FH1g,192.168.255.112,63707,192.168.255.221,80,tcp,http,0.923922,13521.0,0.0,SH,T,T,0,ScADccF,108,17853,0,0,,6,100.0,0.0,GET,,Fuzzers,1,116.89298447271523,117074.81800411723,0.0,125,0,0,0,54,1,54,56,54,1,54,54,0,54
1761337155.997281,CNEL9sWuDyQaZ9mTi,192.168.255.112,49989,224.0.0.252,5355,udp,dns,0.41052,56.0,0.0,S0,T,T,0,D,2,112,0,0,,17,,,,n02-kabyte,Fuzzers,1,4.8718698236383124,1091.298840494982,0.0,28,0,0,0,1,1,1,57,1,1,1,4,0,54
1761337156.269844,CWW4Ap4JTS2MKKNuVf,192.168.255.112,63709,192.168.255.221,80,tcp,http,0.704639,13574.0,0.0,SH,T,T,0,ScADccF,105,17786,0,0,,6,100.0,0.0,GET,,Fuzzers,1,149.0124730535778,154110.11879842018,0.0,129,0,0,0,55,1,55,58,55,1,55,55,0,55
1761337156.281406,CRto9pAvsgEcFEm3g,192.168.255.112,63710,192.168.255.221,80,tcp,http,0.715467,13500.0,0.0,SH,T,T,0,ScADccF,106,17752,0,0,,6,100.0,0.0,GET,,Fuzzers,1,148.1549812919394,150950.3582974477,0.0,127,0,0,0,56,1,56,59,56,1,56,56,0,56
1761337156.281725,CFd8qw4OZcE4iLJ9K8,192.168.255.112,63711,192.168.255.221,80,tcp,http,0.795347,13486.0,0.0,SH,T,T,0,ScADccF,106,17738,0,0,,6,100.0,0.0,GET,,Fuzzers,1,133.27516165899914,135648.96831194434,0.0,127,0,0,0,57,1,57,60,57,1,57,57,0,57
1761337156.284141,CWBY73261ozVbehHO2,192.168.255.112,63712,192.168.255.221,80,tcp,http,0.093004,131.0,0.0,SH,T,T,0,ScADF,6,383,0,0,,6,1.0,0.0,GET,,Fuzzers,1,64.51335426433272,11268.332544836781,0.0,21,0,0,0,58,1,58,61,58,1,58,58,0,58
1761337156.501966,CXeWA1Xz8lSQNGnU1,192.168.255.112,63714,192.168.255.221,80,tcp,http,0.625477,10532.0,0.0,SH,T,T,0,ScADcF,83,13864,0,0,,6,30.0,0.0,GET,,Fuzzers,1,132.69872433358861,134706.79177651618,0.0,126,0,0,0,59,1,59,62,59,1,59,59,0,59
1761337156.514464,CL0IgO0GKtOjTlYXh,192.168.255.112,63716,192.168.255.221,80,tcp,http,0.96639,13525.0,0.0,SH,T,T,0,ScADccF,108,17857,0,0,,6,100.0,0.0,GET,,Fuzzers,1,111.75612330425605,111963.07908815282,0.0,125,0,0,0,60,1,60,63,60,1,60,60,0,60
1761337156.514464,CMdc0C4UFnzyjWhTw4,192.168.255.112,63715,192.168.255.221,80,tcp,http,0.869391,13535.0,0.0,SH,T,T,0,ScADccF,108,17867,0,0,,6,100.0,0.0,GET,,Fuzzers,1,124.22488845640224,124546.95298202995,0.0,125,0,0,0,61,1,61,64,61,1,61,61,0,61
1761337156.568699,CyNBMDBsEhliZi18c,192.168.255.112,63717,192.168.255.221,80,tcp,http,1.01765,13521.0,0.0,SH,T,T,0,ScADccF,106,17773,0,0,,6,100.0,0.0,GET,,Fuzzers,1,104.16154866604433,106291.94713310078,0.0,127,0,0,0,62,1,62,65,62,1,62,62,0,62
1761337156.932722,CQRwfk2Z5EyRB5uMI7,192.168.255.112,63718,192.168.255.221,80,tcp,http,0.801903,13584.0,0.0,SH,T,T,0,ScADccF,105,17796,0,0,,6,100.0,0.0,GET,,Fuzzers,1,130.9385299718295,135517.6374199872,0.0,129,0,0,0,63,1,63,66,63,1,63,63,0,63
1761337156.933474,CJlCtp1vcNwDaFN3q1,192.168.255.112,63719,192.168.255.221,80,tcp,http,0.841535,11637.0,0.0,SH,T,T,0,ScADcF,92,15329,0,0,,6,84.0,0.0,GET,,Fuzzers,1,109.32403286850814,110626.4148252895,0.0,126,0,0,0,64,1,64,67,64,1,64,64,0,64
1761337157.062842,CCdNjdqM6b4IWEkOi,192.168.255.112,63720,192.168.255.221,80,tcp,http,0.77207,10912.0,0.0,SH,T,T,0,ScADcF,85,14324,0,0,,6,80.0,0.0,GET,,Fuzzers,1,110.09364435867214,113067.46797570169,0.0,128,0,0,0,65,1,65,68,65,1,65,65,0,65
1761337157.063193,CO7Z5430fT8E1NxAQb,192.168.255.112,63721,192.168.255.221,80,tcp,http,0.870588,11445.0,0.0,SH,T,T,0,ScADcF,92,15137,0,0,,6,84.0,0.0,GET,,Fuzzers,1,105.67570423667682,105170.29869467532,0.0,124,0,0,0,66,1,66,69,66,1,66,66,0,66
1761337157.06471,CaqNsn3CBDFcE1rBgh,192.168.255.112,63722,192.168.255.221,80,tcp,http,0.927028,8582.0,0.0,SH,T,T,0,ScADcF,72,11474,0,0,,6,30.0,0.0,GET,,Fuzzers,1,77.6675569669956,74060.33043230625,0.0,119,0,0,0,67,1,67,70,67,1,67,67,0,67
1761337157.127024,CMCC8cxfnQ9nk2CV8,192.168.255.112,63723,192.168.255.221,80,tcp,http,1.116194,13572.0,0.0,SH,T,T,0,ScADccF,107,17864,0,0,,6,100.0,0.0,GET,,Fuzzers,1,95.86147210968703,97273.41304468579,0.0,126,0,0,0,68,1,68,71,68,1,68,68,0,68
1761337157.484003,CbXggMZ3fCEZwWX82,192.168.255.112,63724,192.168.255.221,80,tcp,http,0.823863,13594.0,0.0,SH,T,T,0,ScADccF,107,17886,0,0,,6,100.0,0.0,GET,,Fuzzers,1,129.87596238695025,132002.52954678144,0.0,127,0,0,0,69,1,69,72,69,1,69,69,0,69
1761337157.484585,CzdCkY2TUiZpPVXuwk,192.168.255.112,63725,192.168.255.221,80,tcp,http,0.884014,13540.0,0.0,SH,T,T,0,ScADccF,108,17872,0,0,,6,100.0,0.0,GET,,Fuzzers,1,122.1700108821806,122531.99609960929,0.0,125,0,0,0,70,1,70,73,70,1,70,70,0,70
1761337157.484586,CuShvv4inQo2rdqhMl,192.168.255.112,63726,192.168.255.221,80,tcp,http,0.068706,133.0,0.0,SH,T,T,0,ScADF,6,385,0,0,,6,1.0,0.0,GET,,Fuzzers,1,87.32861758798357,15486.274852269087,0.0,22,0,0,0,71,1,71,74,71,1,71,71,0,71
1761337157.636339,CSSqUt28m90NdaT5vd,192.168.255.112,63727,192.168.255.221,80,tcp,http,0.759835,10728.0,0.0,SH,T,T,0,ScADcF,87,14220,0,0,,6,80.0,0.0,GET,,Fuzzers,1,114.4985424467154,112950.83801088393,0.0,123,0,0,0,72,1,72,75,72,1,72,72,0,72
