n_estimators,max_depth,repetition,train_time,f1_score,precision,recall,specificity,roc_auc,pr_auc
70,10.0,5,0.12933802604675293,1.0,1.0,1.0,1.0,1.0,1.0
70,20.0,1,0.12997770309448242,1.0,1.0,1.0,1.0,1.0,1.0
70,20.0,2,0.14824390411376953,1.0,1.0,1.0,1.0,1.0,1.0
70,20.0,3,0.13762545585632324,1.0,1.0,1.0,1.0,1.0,1.0
70,20.0,4,0.12753582000732422,1.0,1.0,1.0,1.0,1.0,1.0
70,20.0,5,0.14254546165466309,1.0,1.0,1.0,1.0,1.0,1.0
70,,1,0.1295146942138672,1.0,1.0,1.0,1.0,1.0,1.0
70,,2,0.12575483322143555,1.0,1.0,1.0,1.0,1.0,1.0
70,,3,0.13081717491149902,1.0,1.0,1.0,1.0,1.0,1.0
70,,4,0.1291043758392334,1.0,1.0,1.0,1.0,1.0,1.0
70,,5,0.14281415939331055,1.0,1.0,1.0,1.0,1.0,1.0
80,10.0,1,0.14116477966308594,1.0,1.0,1.0,1.0,1.0,1.0
80,10.0,2,0.14265227317810059,1.0,1.0,1.0,1.0,1.0,1.0
80,10.0,3,0.15419626235961914,1.0,1.0,1.0,1.0,1.0,1.0
80,10.0,4,0.14472222328186035,1.0,1.0,1.0,1.0,1.0,1.0
80,10.0,5,0.13658356666564941,1.0,1.0,1.0,1.0,1.0,1.0
80,20.0,1,0.13598346710205078,1.0,1.0,1.0,1.0,1.0,1.0
80,20.0,2,0.1526651382446289,1.0,1.0,1.0,1.0,1.0,1.0
80,20.0,3,0.13826894760131836,1.0,1.0,1.0,1.0,1.0,1.0
80,20.0,4,0.14681053161621094,1.0,1.0,1.0,1.0,1.0,1.0
80,20.0,5,0.1381700038909912,1.0,1.0,1.0,1.0,1.0,1.0
80,,1,0.14010930061340332,1.0,1.0,1.0,1.0,1.0,1.0
80,,2,0.13904666900634766,1.0,1.0,1.0,1.0,1.0,1.0
80,,3,0.14080381393432617,1.0,1.0,1.0,1.0,1.0,1.0
