n_estimators,max_depth,min_samples_leaf,repetition,train_time,f1_score,precision,recall,specificity,roc_auc,pr_auc,composite_score
80,20.0,1,3.0,2.061054754257202,0.048015346771178316,0.05246082621082622,0.044897959183673466,0.9573080967402735,0.5011030279619735,0.04963003372289087,0.1995828028186809
80,20.0,5,3.0,1.210120642185211,0.06700967956322267,0.047066269566973594,0.11836734693877551,0.87465825446898,0.4965128007038777,0.048804574092324034,0.20410901811980817
80,20.0,10,3.0,1.1089494943618774,0.06911146583376883,0.04708874846484802,0.13061224489795917,0.8624605678233438,0.4965364063606515,0.049127007708884445,0.20492495996776827
90,10.0,1,3.0,1.3278082251548766,0.08038475003205413,0.055112003577410196,0.15102040816326529,0.8679284963196634,0.5094744522414644,0.050071882679814515,0.21331036165111103
90,10.0,5,3.0,1.0718109726905822,0.0682092241707119,0.044618878517085625,0.14693877551020407,0.8393270241850683,0.4931328998476362,0.04866818268319095,0.203336768900513
90,10.0,10,3.0,1.0369738698005677,0.07407655159271002,0.04805651625393474,0.163265306122449,0.8330178759200841,0.4981415910212666,0.04925395511833492,0.20715736591077052
90,20.0,1,3.0,2.2657917380332946,0.049114753254601934,0.0550447330385736,0.044897959183673466,0.9592008412197688,0.5020494002017212,0.04979757339626867,0.20032057561753058
90,20.0,5,3.0,1.3212196350097656,0.07508111740676666,0.05250691994229177,0.1346938775510204,0.8761303890641429,0.5054121333075817,0.049600962377741226,0.2100314043640299
90,20.0,10,3.0,1.2057558059692384,0.07959564371771238,0.05429756697418418,0.15102040816326529,0.8614090431125131,0.5062147256378892,0.05009020755476078,0.2119668589701208
100,10.0,1,3.0,1.4629665851593017,0.0777203775663903,0.05256371169356579,0.15102040816326529,0.8603575184016824,0.5056889632824738,0.04964824905383449,0.21101919663423285
100,10.0,5,3.0,1.1620421051979064,0.07480923796909142,0.04869794023236825,0.163265306122449,0.8351209253417455,0.4991931157320972,0.048990775423026774,0.20766437637473845
100,10.0,10,3.0,1.135685634613037,0.07739874670408645,0.04976658354565332,0.17551020408163265,0.8275499474237644,0.5015300757526985,0.04936752841105001,0.20943211695594496
100,20.0,1,3.0,2.5768525123596193,0.04764210051836827,0.05131421037909193,0.044897959183673466,0.9558359621451104,0.500366960664392,0.049367695521059685,0.19912558556794
100,20.0,5,3.0,1.4662314534187317,0.08486734337559754,0.05899804461475733,0.15510204081632653,0.8719242902208201,0.5135131655185733,0.050643140539436145,0.216341216477869
100,20.0,10,3.0,1.3291255474090575,0.08033547019107554,0.05396215043483943,0.15918367346938775,0.8542586750788643,0.506721174274126,0.04994731691513098,0.21233465379344418
